I,F1,F2,Cu_1,Cu_2,Cu_3,Al_1,Al_2,Al_3
0,0,0,0.9198,0.92,0.9202,0.8127,0.814,0.8125
0.2,1.3,1.4,0.9195,0.9195,0.9194,0.8166,0.8177,0.8157
0.3,2.1,2.2,0.9188,0.9187,0.9186,0.8222,0.8221,0.8207
0.4,2.9,2.9,0.9183,0.9176,0.9175,0.8267,0.8279,0.8268
0.5,3.6,3.7,0.9155,0.9158,0.9154,0.8335,0.8342,0.8351
0.6,4.3,4.5,0.912,0.9116,0.9112,0.8425,0.8426,0.8424
0.7,5.1,5.2,0.9098,0.9102,0.9103,0.8521,0.8518,0.8516
0.8,5.7,5.9,0.9075,0.906,0.906,0.8607,0.8608,0.8618
0.9,6.6,6.6,0.9013,0.9009,0.9017,0.869,0.8699,0.8695
1,7.1,7.1,0.8997,0.8998,0.8989,0.8797,0.8799,0.8806
1.1,7.5,7.5,0.8969,0.8965,0.8968,0.8889,0.8877,0.8893